"","year","count","country","gdp","pop","host","comm_soviet"
"1",1992,2,"Algeria",48003298223.1178,27181094,0,"0"
"3",1992,2,"Argentina",228788617201.696,33655151,0,"0"
"4",1992,57,"Australia",324878105052.68,17495000,1,"0"
"5",1992,6,"Austria",195078126346.106,7840709,0,"0"
"6",1992,1,"Bahamas",3.109e+09,266134,0,"0"
"7",1992,3,"Belgium",236038384441.656,10045158,0,"0"
"8",1992,14,"Brazil",400599250000,154564278,0,"0"
"9",1992,17,"Bulgaria",10350515463.9175,8540164,0,"1"
"10",1992,44,"Canada",592387689252.916,28519597,0,"0"
"11",1992,83,"China",426915712711.146,1164970000,0,"1"
"12",1992,1,"Colombia",49279585355.0948,35558682,0,"0"
"13",1992,15,"Croatia",NA,4470000,0,"1"
"14",1992,71,"Cuba",22085858243.2432,10733363,0,"1"
"15",1992,14,"Denmark",152915624326.966,5171370,0,"0"
"16",1992,66,"Spain",629202392003.901,39157685,1,"0"
"17",1992,3,"Estonia",NA,1533091,0,"1"
"18",1992,3,"Ethiopia",10492993077.6093,51647768,0,"0"
"19",1992,7,"Finland",112625431377.754,5041992,0,"0"
"20",1992,57,"France",1401465923172.24,58851217,0,"0"
"21",1992,50,"United Kingdom",1179659529659.53,57580402,0,"0"
"22",1992,198,"Germany",2123130870381.97,80624598,0,"0"
"23",1992,13,"Ghana",6413901601.83066,15463854,0,"0"
"24",1992,2,"Greece",116224673042.546,10399061,0,"0"
"25",1992,45,"Hungary",38724945367.8583,10369341,0,"1"
"26",1992,6,"Indonesia",128026966579.964,187766086,0,"0"
"27",1992,3,"Iran",NA,58260738,0,"0"
"28",1992,2,"Ireland",55985506498.7271,3558430,0,"0"
"29",1992,2,"Israel",75575902931.967,5123000,0,"0"
"30",1992,46,"Italy",1315806985860.17,56797087,0,"0"
"31",1992,4,"Jamaica",3530892749.02131,2465362,0,"0"
"32",1992,47,"Japan",3908809463463.86,124229000,0,"0"
"33",1992,8,"Kenya",8209129171.73649,24963953,0,"0"
"34",1992,49,"South Korea",350051111253.443,43747962,1,"0"
"35",1992,3,"Latvia",NA,2614338,0,"1"
"36",1992,13,"Lithuania",NA,3700114,0,"1"
"37",1992,3,"Morocco",33711069430.78,25791494,0,"0"
"38",1992,2,"Malaysia",59167157497.9385,19012724,0,"0"
"39",1992,1,"Mexico",363609163462.471,88828310,0,"0"
"40",1992,2,"Mongolia",1317611863.84977,2243502,0,"1"
"41",1992,2,"Namibia",3448326858.34502,1513721,0,"0"
"42",1992,33,"Netherlands",358330385839.599,15184166,0,"0"
"43",1992,11,"Nigeria",29300903643.0584,100221563,0,"0"
"44",1992,23,"Norway",130838040067.584,4286401,0,"0"
"45",1992,15,"New Zealand",41636005954.9128,3531700,0,"0"
"46",1992,16,"Pakistan",48635176852.7673,113747135,0,"0"
"47",1992,1,"Peru",36139225287.9079,22737056,0,"0"
"48",1992,1,"Philippines",52976344928.9564,65075486,0,"0"
"49",1992,42,"Poland",94337050693.2727,38363667,0,"1"
"50",1992,10,"North Korea",NA,20937404,0,"1"
"51",1992,1,"Puerto Rico",34630430000,3585176,0,NA
"52",1992,1,"Qatar",7646153983.51648,495517,0,"0"
"53",1992,53,"Romania",25121666666.6667,22794284,0,"1"
"54",1992,3,"South Africa",134545231416.55,39360225,0,"0"
"55",1992,6,"Slovenia",NA,1996498,0,"1"
"56",1992,1,"Switzerland",271814366804.153,6875364,0,"0"
"57",1992,1,"Suriname",404600000,422763,0,"0"
"58",1992,35,"Sweden",280312318915.485,8668067,0,"0"
"59",1992,8,"Czechoslovakia",34590052812.1684,10319123,0,"1"
"60",1992,1,"Thailand",111452869378.467,57837878,0,"0"
"61",1992,20,"Taiwan",NA,NA,0,"0"
"62",1992,6,"Turkey",158459130434.783,55748875,0,"0"
"63",1992,224,"United States",6.539299e+12,256514000,1,"0"
"67",1996,3,"Algeria",46941496779.8499,29411415,0,"0"
"69",1996,20,"Argentina",272149750000,35419682,0,"0"
"70",1996,2,"Armenia",1596968913.27897,3168215,0,"1"
"71",1996,132,"Australia",400302731411.229,18311000,1,"0"
"72",1996,3,"Austria",237250948791.266,7959017,0,"0"
"73",1996,1,"Azerbaijan",3176749593.11788,7763000,0,"1"
"74",1996,5,"Bahamas",3.609e+09,283790,0,"0"
"75",1996,1,"Burundi",869033856.317093,6041112,0,"0"
"76",1996,6,"Belgium",281358175895.766,10156637,0,"0"
"77",1996,23,"Belarus",14756846153.8462,10160000,0,"1"
"78",1996,64,"Brazil",850426432991.742,164913306,0,"0"
"79",1996,21,"Bulgaria",10109612141.6526,8362826,0,"1"
"80",1996,51,"Canada",628546387972.131,29671900,0,"0"
"81",1996,110,"China",863746717503.789,1217550000,0,"1"
"82",1996,1,"Costa Rica",11618286553.3677,3596732,0,"0"
"83",1996,29,"Croatia",23678012697.3612,4494000,0,"1"
"84",1996,57,"Cuba",25017300000,10961012,0,"1"
"85",1996,13,"Czech Republic",66985765439.1937,10315241,0,"0"
"86",1996,24,"Denmark",187632400365.599,5263074,0,"0"
"87",1996,1,"Ecuador",25226393196.5983,11683479,0,"0"
"88",1996,67,"Spain",640998292394.588,39889852,1,"0"
"89",1996,3,"Ethiopia",8547939730.62374,59155148,0,"0"
"90",1996,4,"Finland",132099404607.818,5124573,0,"0"
"91",1996,51,"France",1605675086549.56,59753100,0,"0"
"92",1996,26,"United Kingdom",1408781591263.65,58166950,0,"0"
"93",1996,2,"Georgia",3094915505.9093,4616100,0,"1"
"94",1996,124,"Germany",2503665193657.4,81914831,0,"0"
"95",1996,8,"Greece",145861612825.595,10608800,1,"0"
"96",1996,1,"Hong Kong",159717233621.659,6435500,0,NA
"97",1996,43,"Hungary",46659796772.5473,10311238,0,"1"
"98",1996,6,"Indonesia",227369679374.973,199914831,0,"0"
"99",1996,1,"India",387656017798.596,978893217,0,"0"
"100",1996,3,"Iran",120403931885.448,61583089,0,"0"
"101",1996,4,"Ireland",75880632560.4839,3637510,0,"0"
"102",1996,1,"Israel",109957321960.084,5692000,0,"0"
"103",1996,71,"Italy",1308929351236.04,56860281,0,"0"
"104",1996,16,"Jamaica",7.368e+09,2561993,0,"0"
"105",1996,43,"Japan",4833712542207.1,125757000,0,"0"
"106",1996,11,"Kazakhstan",21035357832.8019,15577894,0,"1"
"107",1996,8,"Kenya",12045858436.2399,28147734,0,"0"
"108",1996,66,"South Korea",598099073901.423,45524681,1,"0"
"109",1996,1,"Latvia",5970044665.64574,2457222,0,"1"
"110",1996,12,"Lithuania",8385109020.28485,3601613,0,"1"
"111",1996,2,"Morocco",43161452678.4383,27460603,0,"0"
"112",1996,3,"Malaysia",100854996422.609,21023321,0,"0"
"113",1996,3,"Moldova",1695130456.52174,3667748,0,"1"
"114",1996,1,"Mexico",410975595310.156,95687452,0,"0"
"115",1996,1,"Mongolia",1345719472.35883,2316567,0,"1"
