country,count,year
United States,110,2008
China,100,2008
Russian Federation,72,2008
Great Britain,47,2008
Australia,46,2008
Germany,41,2008
France,40,2008
South Korea,31,2008
Italy,28,2008
Ukraine,27,2008
Japan,25,2008
Cuba,24,2008
Belarus,19,2008
Canada,18,2008
Spain,18,2008
Netherlands,16,2008
Brazil,15,2008
Kenya,14,2008
Kazakhstan,13,2008
Jamaica,11,2008
Norway,10,2008
Poland,10,2008
Hungary,10,2008
New Zealand,9,2008
Turkey,8,2008
Romania,8,2008
Ethiopia,7,2008
Azerbaijan,7,2008
Denmark,7,2008
Switzerland,6,2008
Czech Republic,6,2008
Slovakia,6,2008
Argentina,6,2008
Uzbekistan,6,2008
North Korea,6,2008
Georgia,6,2008
Armenia,6,2008
Sweden,5,2008
Slovenia,5,2008
Indonesia,5,2008
Bulgaria,5,2008
Lithuania,5,2008
Croatia,5,2008
Finland,4,2008
Mongolia,4,2008
Nigeria,4,2008
Thailand,4,2008
Zimbabwe,4,2008
Greece,4,2008
Taiwan,4,2008
Austria,3,2008
Latvia,3,2008
India,3,2008
Mexico,3,2008
Serbia,3,2008
Ireland,3,2008
Algeria,2,2008
Iran,2,2008
Colombia,2,2008
Morocco,2,2008
Kyrgyzstan,2,2008
Tajikistan,2,2008
Portugal,2,2008
Dominican Republic,2,2008
Estonia,2,2008
Belgium,2,2008
Bahamas,2,2008
Trinidad and Tobago,2,2008
Sudan,1,2008
South Africa,1,2008
Egypt,1,2008
Venezuela,1,2008
Chile,1,2008
Afghanistan,1,2008
Cameroon,1,2008
Malaysia,1,2008
Vietnam,1,2008
Ecuador,1,2008
Tunisia,1,2008
Iceland,1,2008
Panama,1,2008
Togo,1,2008
Moldova,1,2008
Israel,1,2008
Mauritius,1,2008
Netherlands Antilles,1,2008
Singapore,1,2008
Bahrain,1,2008
United States,101,2004
Russian Federation,93,2004
China,63,2004
Germany,49,2004
Australia,49,2004
Japan,37,2004
France,33,2004
Italy,32,2004
Great Britain,31,2004
South Korea,30,2004
Cuba,27,2004
Ukraine,23,2004
Netherlands,22,2004
Spain,19,2004
Romania,19,2004
Hungary,17,2004
Greece,16,2004
Belarus,15,2004
Canada,12,2004
Bulgaria,12,2004
Poland,10,2004
Brazil,10,2004
Turkey,10,2004
Czech Republic,8,2004
Kazakhstan,8,2004
Thailand,8,2004
Denmark,8,2004
Austria,7,2004
Sweden,7,2004
Ethiopia,7,2004
Kenya,7,2004
Norway,6,2004
