"","year","gender","count","country","gdp","pop"
"2",1992,"Men",1,"Algeria",48003298223.1178,27181094
"4",1992,"Women",1,"Algeria",48003298223.1178,27181094
"5",1992,"Men",2,"Argentina",228788617201.696,33655151
"6",1992,"Men",45,"Australia",324878105052.68,17495000
"7",1992,"Women",12,"Australia",324878105052.68,17495000
"8",1992,"Men",6,"Austria",195078126346.106,7840709
"9",1992,"Men",1,"Bahamas",3.109e+09,266134
"10",1992,"Men",1,"Belgium",236038384441.656,10045158
"11",1992,"Women",2,"Belgium",236038384441.656,10045158
"12",1992,"Men",14,"Brazil",400599250000,154564278
"13",1992,"Men",12,"Bulgaria",10350515463.9175,8540164
"14",1992,"Women",5,"Bulgaria",10350515463.9175,8540164
"15",1992,"Men",24,"Canada",592387689252.916,28519597
"16",1992,"Women",20,"Canada",592387689252.916,28519597
"17",1992,"Men",26,"China",426915712711.146,1164970000
"18",1992,"Women",57,"China",426915712711.146,1164970000
"19",1992,"Women",1,"Colombia",49279585355.0948,35558682
"20",1992,"Men",15,"Croatia",NA,4470000
"21",1992,"Men",52,"Cuba",22085858243.2432,10733363
"22",1992,"Women",19,"Cuba",22085858243.2432,10733363
"23",1992,"Men",14,"Denmark",152915624326.966,5171370
"24",1992,"Men",41,"Spain",629202392003.901,39157685
"25",1992,"Women",25,"Spain",629202392003.901,39157685
"26",1992,"Men",2,"Estonia",NA,1533091
"27",1992,"Women",1,"Estonia",NA,1533091
"28",1992,"Men",2,"Ethiopia",10492993077.6093,51647768
"29",1992,"Women",1,"Ethiopia",10492993077.6093,51647768
"30",1992,"Men",7,"Finland",112625431377.754,5041992
"31",1992,"Men",50,"France",1401465923172.24,58851217
"32",1992,"Women",7,"France",1401465923172.24,58851217
"33",1992,"Men",26,"United Kingdom",1179659529659.53,57580402
"34",1992,"Women",24,"United Kingdom",1179659529659.53,57580402
"35",1992,"Men",113,"Germany",2123130870381.97,80624598
"36",1992,"Women",85,"Germany",2123130870381.97,80624598
"37",1992,"Men",13,"Ghana",6413901601.83066,15463854
"38",1992,"Men",1,"Greece",116224673042.546,10399061
"39",1992,"Women",1,"Greece",116224673042.546,10399061
"40",1992,"Men",32,"Hungary",38724945367.8583,10369341
"41",1992,"Women",13,"Hungary",38724945367.8583,10369341
"42",1992,"Men",5,"Indonesia",128026966579.964,187766086
"43",1992,"Women",1,"Indonesia",128026966579.964,187766086
"44",1992,"Men",3,"Iran",NA,58260738
"45",1992,"Men",2,"Ireland",55985506498.7271,3558430
"46",1992,"Men",1,"Israel",75575902931.967,5123000
"47",1992,"Women",1,"Israel",75575902931.967,5123000
"48",1992,"Men",39,"Italy",1315806985860.17,56797087
"49",1992,"Women",7,"Italy",1315806985860.17,56797087
"50",1992,"Men",1,"Jamaica",3530892749.02131,2465362
"51",1992,"Women",3,"Jamaica",3530892749.02131,2465362
