"","year","sport","count","country","gdp","pop"
"2",1992,"Athletics",1,"Algeria",48003298223.1178,27181094
"4",1992,"Boxing",1,"Algeria",48003298223.1178,27181094
"5",1992,"Tennis",2,"Argentina",228788617201.696,33655151
"6",1992,"Aquatics",9,"Australia",324878105052.68,17495000
"7",1992,"Athletics",2,"Australia",324878105052.68,17495000
"8",1992,"Canoe / Kayak",6,"Australia",324878105052.68,17495000
"9",1992,"Cycling",8,"Australia",324878105052.68,17495000
"10",1992,"Equestrian",5,"Australia",324878105052.68,17495000
"11",1992,"Hockey",16,"Australia",324878105052.68,17495000
"12",1992,"Rowing",6,"Australia",324878105052.68,17495000
"13",1992,"Sailing",3,"Australia",324878105052.68,17495000
"14",1992,"Tennis",2,"Australia",324878105052.68,17495000
"15",1992,"Equestrian",4,"Austria",195078126346.106,7840709
"16",1992,"Rowing",2,"Austria",195078126346.106,7840709
"17",1992,"Athletics",1,"Bahamas",3.109e+09,266134
"18",1992,"Cycling",1,"Belgium",236038384441.656,10045158
"19",1992,"Judo",1,"Belgium",236038384441.656,10045158
"20",1992,"Rowing",1,"Belgium",236038384441.656,10045158
"21",1992,"Aquatics",1,"Brazil",400599250000,154564278
"22",1992,"Judo",1,"Brazil",400599250000,154564278
"23",1992,"Volleyball",12,"Brazil",400599250000,154564278
"24",1992,"Athletics",2,"Bulgaria",10350515463.9175,8540164
"25",1992,"Boxing",2,"Bulgaria",10350515463.9175,8540164
"26",1992,"Canoe / Kayak",4,"Bulgaria",10350515463.9175,8540164
"27",1992,"Shooting",3,"Bulgaria",10350515463.9175,8540164
"28",1992,"Weightlifting",4,"Bulgaria",10350515463.9175,8540164
"29",1992,"Wrestling",2,"Bulgaria",10350515463.9175,8540164
"30",1992,"Aquatics",9,"Canada",592387689252.916,28519597
"31",1992,"Athletics",3,"Canada",592387689252.916,28519597
"32",1992,"Boxing",2,"Canada",592387689252.916,28519597
"33",1992,"Cycling",1,"Canada",592387689252.916,28519597
"34",1992,"Judo",1,"Canada",592387689252.916,28519597
"35",1992,"Rowing",25,"Canada",592387689252.916,28519597
"36",1992,"Sailing",2,"Canada",592387689252.916,28519597
"37",1992,"Wrestling",1,"Canada",592387689252.916,28519597
"38",1992,"Aquatics",18,"China",426915712711.146,1164970000
"39",1992,"Archery",3,"China",426915712711.146,1164970000
"40",1992,"Athletics",4,"China",426915712711.146,1164970000
"41",1992,"Badminton",8,"China",426915712711.146,1164970000
"42",1992,"Basketball",12,"China",426915712711.146,1164970000
"43",1992,"Fencing",1,"China",426915712711.146,1164970000
"44",1992,"Gymnastics",13,"China",426915712711.146,1164970000
"45",1992,"Judo",3,"China",426915712711.146,1164970000
"46",1992,"Rowing",2,"China",426915712711.146,1164970000
"47",1992,"Sailing",1,"China",426915712711.146,1164970000
"48",1992,"Shooting",4,"China",426915712711.146,1164970000
"49",1992,"Table Tennis",9,"China",426915712711.146,1164970000
"50",1992,"Weightlifting",4,"China",426915712711.146,1164970000
"51",1992,"Wrestling",1,"China",426915712711.146,1164970000
"52",1992,"Athletics",1,"Colombia",49279585355.0948,35558682
"53",1992,"Basketball",12,"Croatia",NA,4470000
"54",1992,"Tennis",3,"Croatia",NA,4470000
"55",1992,"Athletics",13,"Cuba",22085858243.2432,10733363
"56",1992,"Baseball",20,"Cuba",22085858243.2432,10733363
"57",1992,"Boxing",9,"Cuba",22085858243.2432,10733363
"58",1992,"Fencing",6,"Cuba",22085858243.2432,10733363
"59",1992,"Judo",5,"Cuba",22085858243.2432,10733363
"60",1992,"Volleyball",12,"Cuba",22085858243.2432,10733363
"61",1992,"Weightlifting",1,"Cuba",22085858243.2432,10733363
"62",1992,"Wrestling",5,"Cuba",22085858243.2432,10733363
"63",1992,"Badminton",1,"Denmark",152915624326.966,5171370
"64",1992,"Boxing",1,"Denmark",152915624326.966,5171370
"65",1992,"Canoe / Kayak",2,"Denmark",152915624326.966,5171370
"66",1992,"Cycling",5,"Denmark",152915624326.966,5171370
"67",1992,"Sailing",5,"Denmark",152915624326.966,5171370
"68",1992,"Aquatics",14,"Spain",629202392003.901,39157685
"69",1992,"Archery",3,"Spain",629202392003.901,39157685
"70",1992,"Athletics",4,"Spain",629202392003.901,39157685
"71",1992,"Boxing",1,"Spain",629202392003.901,39157685
"72",1992,"Cycling",1,"Spain",629202392003.901,39157685
"73",1992,"Football",12,"Spain",629202392003.901,39157685
"74",1992,"Gymnastics",1,"Spain",629202392003.901,39157685
"75",1992,"Hockey",16,"Spain",629202392003.901,39157685
"76",1992,"Judo",2,"Spain",629202392003.901,39157685
"77",1992,"Sailing",8,"Spain",629202392003.901,39157685
"78",1992,"Tennis",4,"Spain",629202392003.901,39157685
"79",1992,"Cycling",1,"Estonia",NA,1533091
"80",1992,"Sailing",2,"Estonia",NA,1533091
"81",1992,"Athletics",3,"Ethiopia",10492993077.6093,51647768
"82",1992,"Aquatics",1,"Finland",112625431377.754,5041992
"83",1992,"Archery",3,"Finland",112625431377.754,5041992
"84",1992,"Athletics",1,"Finland",112625431377.754,5041992
"85",1992,"Boxing",1,"Finland",112625431377.754,5041992
"86",1992,"Canoe / Kayak",1,"Finland",112625431377.754,5041992
"87",1992,"Aquatics",3,"France",1401465923172.24,58851217
"88",1992,"Archery",1,"France",1401465923172.24,58851217
"89",1992,"Athletics",1,"France",1401465923172.24,58851217
"90",1992,"Canoe / Kayak",6,"France",1401465923172.24,58851217
"91",1992,"Cycling",5,"France",1401465923172.24,58851217
"92",1992,"Equestrian",4,"France",1401465923172.24,58851217
"93",1992,"Fencing",9,"France",1401465923172.24,58851217
"94",1992,"Handball",16,"France",1401465923172.24,58851217
"95",1992,"Judo",7,"France",1401465923172.24,58851217
"96",1992,"Sailing",3,"France",1401465923172.24,58851217
"97",1992,"Shooting",1,"France",1401465923172.24,58851217
"98",1992,"Table Tennis",1,"France",1401465923172.24,58851217
"99",1992,"Aquatics",1,"United Kingdom",1179659529659.53,57580402
"100",1992,"Archery",4,"United Kingdom",1179659529659.53,57580402
"101",1992,"Athletics",14,"United Kingdom",1179659529659.53,57580402
"102",1992,"Boxing",1,"United Kingdom",1179659529659.53,57580402
"103",1992,"Canoe / Kayak",1,"United Kingdom",1179659529659.53,57580402
"104",1992,"Cycling",1,"United Kingdom",1179659529659.53,57580402
"105",1992,"Hockey",16,"United Kingdom",1179659529659.53,57580402
"106",1992,"Judo",4,"United Kingdom",1179659529659.53,57580402
"107",1992,"Rowing",5,"United Kingdom",1179659529659.53,57580402
"108",1992,"Sailing",3,"United Kingdom",1179659529659.53,57580402
"109",1992,"Aquatics",28,"Germany",2123130870381.97,80624598
"110",1992,"Athletics",10,"Germany",2123130870381.97,80624598
"111",1992,"Boxing",4,"Germany",2123130870381.97,80624598
"112",1992,"Canoe / Kayak",22,"Germany",2123130870381.97,80624598
"113",1992,"Cycling",13,"Germany",2123130870381.97,80624598
"114",1992,"Equestrian",13,"Germany",2123130870381.97,80624598
"115",1992,"Fencing",15,"Germany",2123130870381.97,80624598
"116",1992,"Gymnastics",3,"Germany",2123130870381.97,80624598
"117",1992,"Hockey",32,"Germany",2123130870381.97,80624598
"118",1992,"Judo",2,"Germany",2123130870381.97,80624598
"119",1992,"Rowing",42,"Germany",2123130870381.97,80624598
"120",1992,"Shooting",3,"Germany",2123130870381.97,80624598
"121",1992,"Table Tennis",2,"Germany",2123130870381.97,80624598
"122",1992,"Tennis",3,"Germany",2123130870381.97,80624598
"123",1992,"Weightlifting",3,"Germany",2123130870381.97,80624598
"124",1992,"Wrestling",3,"Germany",2123130870381.97,80624598
"125",1992,"Football",13,"Ghana",6413901601.83066,15463854
"126",1992,"Athletics",1,"Greece",116224673042.546,10399061
"127",1992,"Weightlifting",1,"Greece",116224673042.546,10399061
"128",1992,"Aquatics",9,"Hungary",38724945367.8583,10369341
"129",1992,"Boxing",3,"Hungary",38724945367.8583,10369341
"130",1992,"Canoe / Kayak",13,"Hungary",38724945367.8583,10369341
"131",1992,"Fencing",11,"Hungary",38724945367.8583,10369341
"132",1992,"Gymnastics",2,"Hungary",38724945367.8583,10369341
"133",1992,"Judo",4,"Hungary",38724945367.8583,10369341
"134",1992,"Modern Pentathlon",1,"Hungary",38724945367.8583,10369341
"135",1992,"Wrestling",2,"Hungary",38724945367.8583,10369341
"136",1992,"Badminton",6,"Indonesia",128026966579.964,187766086
"137",1992,"Wrestling",3,"Iran",NA,58260738
"138",1992,"Boxing",2,"Ireland",55985506498.7271,3558430
"139",1992,"Judo",2,"Israel",75575902931.967,5123000
"140",1992,"Aquatics",15,"Italy",1315806985860.17,56797087
"141",1992,"Athletics",1,"Italy",1315806985860.17,56797087
"142",1992,"Canoe / Kayak",3,"Italy",1315806985860.17,56797087
"143",1992,"Cycling",6,"Italy",1315806985860.17,56797087
"144",1992,"Fencing",7,"Italy",1315806985860.17,56797087
"145",1992,"Judo",1,"Italy",1315806985860.17,56797087
"146",1992,"Modern Pentathlon",3,"Italy",1315806985860.17,56797087
"147",1992,"Rowing",7,"Italy",1315806985860.17,56797087
"148",1992,"Shooting",2,"Italy",1315806985860.17,56797087
"149",1992,"Wrestling",1,"Italy",1315806985860.17,56797087
"150",1992,"Athletics",4,"Jamaica",3530892749.02131,2465362
"151",1992,"Aquatics",4,"Japan",3908809463463.86,124229000
"152",1992,"Athletics",2,"Japan",3908809463463.86,124229000
"153",1992,"Baseball",20,"Japan",3908809463463.86,124229000
"154",1992,"Gymnastics",8,"Japan",3908809463463.86,124229000
"155",1992,"Judo",10,"Japan",3908809463463.86,124229000
"156",1992,"Shooting",2,"Japan",3908809463463.86,124229000
"157",1992,"Wrestling",1,"Japan",3908809463463.86,124229000
"158",1992,"Athletics",8,"Kenya",8209129171.73649,24963953
"159",1992,"Archery",6,"South Korea",350051111253.443,43747962
"160",1992,"Athletics",1,"South Korea",350051111253.443,43747962
"161",1992,"Badminton",7,"South Korea",350051111253.443,43747962
"162",1992,"Boxing",2,"South Korea",350051111253.443,43747962
"163",1992,"Gymnastics",1,"South Korea",350051111253.443,43747962
"164",1992,"Handball",13,"South Korea",350051111253.443,43747962
"165",1992,"Judo",4,"South Korea",350051111253.443,43747962
"166",1992,"Shooting",2,"South Korea",350051111253.443,43747962
"167",1992,"Table Tennis",8,"South Korea",350051111253.443,43747962
"168",1992,"Weightlifting",1,"South Korea",350051111253.443,43747962
"169",1992,"Wrestling",4,"South Korea",350051111253.443,43747962
"170",1992,"Canoe / Kayak",1,"Latvia",NA,2614338
"171",1992,"Cycling",1,"Latvia",NA,2614338
"172",1992,"Shooting",1,"Latvia",NA,2614338
"173",1992,"Athletics",1,"Lithuania",NA,3700114
"174",1992,"Basketball",12,"Lithuania",NA,3700114
"175",1992,"Athletics",2,"Morocco",33711069430.78,25791494
"176",1992,"Boxing",1,"Morocco",33711069430.78,25791494
"177",1992,"Badminton",2,"Malaysia",59167157497.9385,19012724
"178",1992,"Athletics",1,"Mexico",363609163462.471,88828310
"179",1992,"Boxing",1,"Mongolia",1317611863.84977,2243502
"180",1992,"Shooting",1,"Mongolia",1317611863.84977,2243502
"181",1992,"Athletics",2,"Namibia",3448326858.34502,1513721
"182",1992,"Athletics",1,"Netherlands",358330385839.599,15184166
"183",1992,"Boxing",2,"Netherlands",358330385839.599,15184166
"184",1992,"Cycling",4,"Netherlands",358330385839.599,15184166
"185",1992,"Equestrian",9,"Netherlands",358330385839.599,15184166
"186",1992,"Judo",2,"Netherlands",358330385839.599,15184166
"187",1992,"Rowing",2,"Netherlands",358330385839.599,15184166
"188",1992,"Sailing",1,"Netherlands",358330385839.599,15184166
"189",1992,"Volleyball",12,"Netherlands",358330385839.599,15184166
"190",1992,"Athletics",9,"Nigeria",29300903643.0584,100221563
"191",1992,"Boxing",2,"Nigeria",29300903643.0584,100221563
"192",1992,"Canoe / Kayak",2,"Norway",130838040067.584,4286401
"193",1992,"Handball",14,"Norway",130838040067.584,4286401
"194",1992,"Rowing",4,"Norway",130838040067.584,4286401
"195",1992,"Sailing",1,"Norway",130838040067.584,4286401
"196",1992,"Shooting",1,"Norway",130838040067.584,4286401
"197",1992,"Wrestling",1,"Norway",130838040067.584,4286401
"198",1992,"Aquatics",1,"New Zealand",41636005954.9128,3531700
"199",1992,"Athletics",1,"New Zealand",41636005954.9128,3531700
"200",1992,"Boxing",1,"New Zealand",41636005954.9128,3531700
"201",1992,"Cycling",1,"New Zealand",41636005954.9128,3531700
"202",1992,"Equestrian",5,"New Zealand",41636005954.9128,3531700
"203",1992,"Sailing",6,"New Zealand",41636005954.9128,3531700
"204",1992,"Hockey",16,"Pakistan",48635176852.7673,113747135
"205",1992,"Shooting",1,"Peru",36139225287.9079,22737056
"206",1992,"Boxing",1,"Philippines",52976344928.9564,65075486
"207",1992,"Aquatics",1,"Poland",94337050693.2727,38363667
"208",1992,"Athletics",1,"Poland",94337050693.2727,38363667
"209",1992,"Boxing",1,"Poland",94337050693.2727,38363667
"210",1992,"Canoe / Kayak",5,"Poland",94337050693.2727,38363667
"211",1992,"Fencing",5,"Poland",94337050693.2727,38363667
"212",1992,"Football",12,"Poland",94337050693.2727,38363667
"213",1992,"Judo",1,"Poland",94337050693.2727,38363667
"214",1992,"Modern Pentathlon",4,"Poland",94337050693.2727,38363667
"215",1992,"Rowing",6,"Poland",94337050693.2727,38363667
"216",1992,"Shooting",1,"Poland",94337050693.2727,38363667
"217",1992,"Weightlifting",3,"Poland",94337050693.2727,38363667
"218",1992,"Wrestling",2,"Poland",94337050693.2727,38363667
"219",1992,"Boxing",2,"North Korea",NA,20937404
"220",1992,"Gymnastics",1,"North Korea",NA,20937404
"221",1992,"Table Tennis",3,"North Korea",NA,20937404
"222",1992,"Weightlifting",1,"North Korea",NA,20937404
"223",1992,"Wrestling",3,"North Korea",NA,20937404
"224",1992,"Boxing",1,"Puerto Rico",34630430000,3585176
"225",1992,"Athletics",1,"Qatar",7646153983.51648,495517
"226",1992,"Athletics",1,"Romania",25121666666.6667,22794284
"227",1992,"Boxing",1,"Romania",25121666666.6667,22794284
"228",1992,"Fencing",5,"Romania",25121666666.6667,22794284
"229",1992,"Gymnastics",10,"Romania",25121666666.6667,22794284
"230",1992,"Rowing",33,"Romania",25121666666.6667,22794284
"231",1992,"Shooting",1,"Romania",25121666666.6667,22794284
"232",1992,"Weightlifting",1,"Romania",25121666666.6667,22794284
"233",1992,"Wrestling",1,"Romania",25121666666.6667,22794284
"234",1992,"Athletics",1,"South Africa",134545231416.55,39360225
"235",1992,"Tennis",2,"South Africa",134545231416.55,39360225
"236",1992,"Rowing",6,"Slovenia",NA,1996498
"237",1992,"Tennis",1,"Switzerland",271814366804.153,6875364
"238",1992,"Aquatics",1,"Suriname",404600000,422763
"239",1992,"Aquatics",6,"Sweden",280312318915.485,8668067
"240",1992,"Athletics",1,"Sweden",280312318915.485,8668067
"241",1992,"Canoe / Kayak",8,"Sweden",280312318915.485,8668067
"242",1992,"Handball",16,"Sweden",280312318915.485,8668067
"243",1992,"Shooting",1,"Sweden",280312318915.485,8668067
"244",1992,"Table Tennis",1,"Sweden",280312318915.485,8668067
