,,value_2017,rank_2017
1,Norway,0.048,5
2,Switzerland,0.039,1
3,Australia,0.109,23
4,Ireland,0.109,23
5,Germany,0.072,14
6,Iceland,0.062,9
7,Sweden,0.044,3
9,Singapore,0.067,12
10,Netherlands,0.044,3
11,Denmark,0.04,2
12,Canada,0.092,20
13,United States,0.189,41
14,United Kingdom,0.116,25
15,Finland,0.058,8
16,New Zealand,0.136,34
17,Belgium,0.048,5
19,Japan,0.103,22
20,Austria,0.071,13
21,Luxembourg,0.066,11
22,Israel,0.098,21
22,Korea (Republic of),0.063,10
24,France,0.083,16
25,Slovenia,0.054,7
26,Spain,0.08,15
27,Czechia,0.124,29
28,Italy,0.087,18
29,Malta,0.216,45
30,Estonia,0.122,27
31,Greece,0.12,26
32,Cyprus,0.085,17
33,Poland,0.132,32
34,United Arab Emirates,0.232,49
35,Lithuania,0.123,28
37,Qatar,0.206,44
38,Slovakia,0.18,39
39,Brunei Darussalam,0.236,51
39,Saudi Arabia,0.234,50
41,Latvia,0.196,42
41,Portugal,0.088,19
43,Bahrain,0.222,47
44,Chile,0.319,72
45,Hungary,0.259,54
46,Croatia,0.124,29
47,Argentina,0.358,81
48,Oman,0.264,56
49,Russian Federation,0.257,53
50,Montenegro,0.132,32
51,Bulgaria,0.217,46
52,Romania,0.311,68
53,Belarus,0.13,31
54,Bahamas,0.34,75
55,Uruguay,0.27,57
56,Kuwait,0.27,57
57,Malaysia,0.287,62
58,Barbados,0.284,60
58,Kazakhstan,0.197,43
60,Iran (Islamic Republic of),0.461,109
65,Mauritius,0.373,84
66,Panama,0.461,109
67,Serbia,0.181,40
68,Albania,0.238,52
69,Trinidad and Tobago,0.324,73
70,Georgia,0.35,78
73,Cuba,0.301,65
76,Sri Lanka,0.354,80
78,Venezuela (Bolivarian Republic of),0.454,105
79,Brazil,0.407,94
80,Lebanon,0.381,85
80,The former Yugoslav Republic of Macedonia,0.149,35
83,Armenia,0.262,55
83,Thailand,0.393,93
85,Algeria,0.442,100
86,China,0.152,36
86,Ecuador,0.385,88
88,Ukraine,0.285,61
89,Peru,0.368,83
90,Colombia,0.383,87
90,Saint Lucia,0.333,74
92,Fiji,0.352,79
92,Mongolia,0.301,65
94,Dominican Republic,0.451,103
95,Jordan,0.46,108
95,Tunisia,0.298,63
97,Jamaica,0.412,95
98,Tonga,0.416,96
100,Suriname,0.441,99
101,Botswana,0.434,98
101,Maldives,0.343,76
104,Samoa,0.365,82
105,Uzbekistan,0.274,59
106,Belize,0.386,89
108,Libya,0.17,38
110,Paraguay,0.467,113
112,Moldova (Republic of),0.226,48
113,Philippines,0.427,97
113,South Africa,0.389,90
115,Egypt,0.449,101
116,Indonesia,0.453,104
116,Viet Nam,0.304,67
118,Bolivia (Plurinational State of),0.45,102
120,Iraq,0.506,123
121,El Salvador,0.392,91
122,Kyrgyzstan,0.392,91
123,Morocco,0.482,119
124,Nicaragua,0.456,106
125,Guyana,0.504,122
127,Guatemala,0.493,120
127,Tajikistan,0.317,69
129,Namibia,0.472,115
130,India,0.524,127
133,Honduras,0.461,109
134,Bhutan,0.476,117
136,Bangladesh,0.542,134
137,Congo,0.578,143
139,Lao People's Democratic Republic,0.461,109
140,Ghana,0.538,131
142,Kenya,0.549,137
143,Sao Tome and Principe,0.538,131
144,Eswatini (Kingdom of),0.569,141
144,Zambia,0.517,125
146,Cambodia,0.473,116
148,Myanmar,0.456,106
149,Nepal,0.48,118
150,Pakistan,0.541,133
151,Cameroon,0.569,141
153,Papua New Guinea,0.741,159
154,Tanzania (United Republic of),0.537,130
155,Syrian Arab Republic,0.547,136
156,Zimbabwe,0.534,128
158,Rwanda,0.381,85
159,Lesotho,0.544,135
159,Mauritania,0.617,147
162,Uganda,0.523,126
163,Benin,0.611,146
164,Senegal,0.515,124
165,Togo,0.567,140
167,Sudan,0.564,139
168,Afghanistan,0.653,153
168,Haiti,0.601,144
170,Côte d'Ivoire,0.663,155
171,Malawi,0.619,148
173,Ethiopia,0.502,121
174,Gambia,0.623,149
176,Congo (Democratic Republic of the),0.652,152
178,Yemen,0.834,160
180,Mozambique,0.552,138
181,Liberia,0.656,154
182,Mali,0.678,157
183,Burkina Faso,0.61,145
184,Sierra Leone,0.645,150
185,Burundi,0.471,114
186,Chad,0.708,158
188,Central African Republic,0.673,156
189,Niger,0.649,151
